"mun_name","uf","indice_diversidade"
"Porto Firme","MG","0.595216288196419814369"
"Campos Altos","MG","0.5950718271654233205978"
"Cardoso Moreira","RJ","0.5947340560850290993207"
"Maripa de Minas","MG","0.594689450249564822998"
"Boa Esperanca","MG","0.5946687290745185045791"
"Barrinha","SP","0.594490787571050442989"
"Iracema","RR","0.5944165792716460810247"
"Betania","PE","0.594248914756170810296"
"Sao Vicente","SP","0.594223630405919809768"
"Franco da Rocha","SP","0.5941838301992348213956"
"Juina","MT","0.594120049690309487021"
"Pedra Branca do Amapari","AP","0.594103335525073587485"
"Ibirite","MG","0.5940648226230673141366"
"Carangola","MG","0.594040048257183656014"
"Ijaci","MG","0.5939352933114954568775"
"Rio Grande da Serra","SP","0.593926252988932945745"
"Sao Sebastiao do Rio Preto","MG","0.59392043687357302245"
"Rodeiro","MG","0.59390900907929053815753"
"Goias","GO","0.593845242775610913455"
"Sao Francisco de Paula","MG","0.59373939773560776937855"
"Patrocinio do Muriae","MG","0.59370188438254540365074"
"Ibia","MG","0.5936491237103269673997"
"Uibai","BA","0.593635011871058278326"
"Santa Barbara","MG","0.593545620508677979151"
"Nova Ponte","MG","0.5934737262700284508419"
"Rio Pomba","MG","0.59345748091779756480324"
"Cajuri","MG","0.5933659586934792682335"
"Sao Mateus","ES","0.593278954591204099878"
"Bias Fortes","MG","0.59323792232887149719234"
"Afranio","PE","0.5932294698543416749385"
"Santa Fe do Araguaia","TO","0.5931981728826308621901"
"Itapitanga","BA","0.593185526098342289608800"
"Riachao do Jacuipe","BA","0.5930893918334485296194"
"Tangara da Serra","MT","0.59294418095448486064"
"Bertioga","SP","0.59270091862134477697"
"Itamarati","AM","0.5926918722386935026421"
"Senhora de Oliveira","MG","0.59265591333004183275470"
"Vila Velha","ES","0.592495159197113005840"
"Aracitaba","MG","0.59248556771971043261"
"Porto Real do Colegio","AL","0.59248056477058738982736"
"Montes Altos","MA","0.59247301796171879828"
"Caetite","BA","0.5924393788254272618001"
"Carmo da Mata","MG","0.5923831239988489055662"
"Pains","MG","0.59217789300104911343700"
"Nova America","GO","0.59210347795660917220"
"Cachoeiras de Macacu","RJ","0.5920632697794593454583"
"Sao Francisco de Itabapoana","RJ","0.59201251198311872903828"
"Cairu","BA","0.592011673265391468424"
"Brasilia","DF","0.591934349240118555575"
"Monsenhor Tabosa","CE","0.5918833445480527795763"
"Coremas","PB","0.591820847903916577691500"
"Marechal Thaumaturgo","AC","0.591763308846262651127"
"Cavalcante","GO","0.591732481241211509610"
"Itaverava","MG","0.59167984934985884089969"
"VarreSai","RJ","0.591657289003490392163"
"Guatapara","SP","0.5915898877243273910758"
"Sao Jose de Uba","RJ","0.59135855028218521993896"
"Dourados","MS","0.59120893381440681878"
"Quartel Geral","MG","0.5911921394342255290655"
"Canaa","MG","0.59119063389444351358"
"Santa Cruz de Minas","MG","0.59103397915085344229997"
"Uberlandia","MG","0.5909838927449078291393"
"Prata","MG","0.5909706938459531968184"
"Jandira","SP","0.5908048461041769807211"
"Ubaira","BA","0.5906686898806598060749"
"Caputira","MG","0.59064017555656898474229"
"Matrincha","GO","0.59063884139837005848"
"Mataraca","PB","0.590620652815945303381"
"Jeriquara","SP","0.590590526463285734701"
"Candeal","BA","0.590571211329371916936"
"Jaraguari","MS","0.590308025333540035986"
"Congonhas","MG","0.5902701029305535045089"
"Sao Felipe","BA","0.5901793327030612285429"
"Vespasiano","MG","0.5901126027327379133415"
"Emas","PB","0.59010882382884587576"
"Novo Triunfo","BA","0.5900971174526292816746"
"Catas Altas","MG","0.59009701262904528514643"
"Cedro do Abaete","MG","0.5900111333511900534041"
"Santo Antonio do Aventureiro","MG","0.58996416916120611084582"
"Quinta do Sol","PR","0.5898810639791657745271"
"Japora","MS","0.58969279425377689958159"
"Itariri","SP","0.58928130626272567797"
"Lagoa de Sao Francisco","PI","0.58913004910163054776958"
"Itaquaquecetuba","SP","0.589093242413581760226"
"Santopolis do Aguapei","SP","0.589001290010571495535"
"Conceicao da Barra de Minas","MG","0.58898955308673147330259"
"Tabuleiro","MG","0.5889356733247286713806"
"Cubatao","SP","0.5889141840101993154655"
"Paulista","PE","0.588599534411706203755"
"Conde","PB","0.588587344016970851206"
"Caratinga","MG","0.5884706257379677709391"
"Tocantinopolis","TO","0.588460487090107510053"
"Luis Gomes","RN","0.588353647789032746666"
"Lima Duarte","MG","0.58830327970859977026021"
"Santa Luzia","PB","0.5882660192377068481636"
"Pitangui","MG","0.5881379766699882307531"
"Pracinha","SP","0.588106018521583537011"
"Guarulhos","SP","0.588021549980986498528"
"Marizopolis","PB","0.588011328596587518857"
"Salgueiro","PE","0.587853211904884300589"
"Sao Sebastiao","SP","0.58781985839415026173"
"Alegre","ES","0.5877615363691573382178"
"Sao Jose da Lapa","MG","0.587740581919971863769"
"alvaro de Carvalho","SP","0.58772201973416463408633"
"Sao Goncalo do Amarante","RN","0.587671861279280101816"
"Papagaios","MG","0.58753760197846479058962"
"Bom Jesus do Amparo","MG","0.58745589187591169352194"
"Conceicao do Rio Verde","MG","0.5874517914070172932947"
"Sao Joao do Piaui","PI","0.587360822052181357279"
"Capitao Andrade","MG","0.586844922457066271533"
"Jaguare","ES","0.5868333760490426864979"
"Cruz das Almas","BA","0.5868126904672283886815"
"Sao Bento Abade","MG","0.58675947621795766133089"
"Araxa","MG","0.5866825635587877788922"
"Santana de Cataguases","MG","0.58658367069546092574883"
"Diamante do Norte","PR","0.5862471201010704774721"
"Abreu e Lima","PE","0.586198639237547705246"
"Betim","MG","0.586133364741689740122"
"Natal","RN","0.586124853740804638207"
"Lagoa Santa","MG","0.5859438828582570337125"
"Pirapora do Bom Jesus","SP","0.585942077343803016031"
"Prado Ferreira","PR","0.58577486822584604528"
"Anastacio","MS","0.58566445625021767544"
"Matina","BA","0.585654561147195782162800"
"Guaira","PR","0.58565314925677013094"
"Retirolandia","BA","0.58563146520344285208743"
"Nova Era","MG","0.5855953859883460299831"
"Caiana","MG","0.5855917245074152180894"
"Santa Rita do Araguaia","GO","0.58556223758879637232248"
"Cuiaba","MT","0.585553733573952158903"
"Brumadinho","MG","0.5854753461443531680186"
"Santana da Vargem","MG","0.58541674852116333445389"
"Apuarema","BA","0.5853747289497421498014"
"Itapevi","SP","0.5853087537115165574238"
"Rio Acima","MG","0.585235023806721747837"
"Tres Lagoas","MS","0.585187004518029621364"
"Laje","BA","0.58473063758699764601893"
"Conceicao da Barra","ES","0.5845996680985031623712"
"Bodoquena","MS","0.584499137246357098512"
"Campo Grande","MS","0.58447448541757499883"
"Camacari","BA","0.584421222007794155766"
"Maurilandia do Tocantins","TO","0.58432794569384671196"
"Verdelandia","MG","0.584286664343397330171"
"Aracaju","SE","0.584268670705672649791"
"Carmo do Cajuru","MG","0.5842655254187262528798"
"Lagoa da Prata","MG","0.5842622359808369764355"
"Santo Antonio de Goias","GO","0.584225291677839288605"
"Ipanema","MG","0.5842240604646313777734"
"Aparecida","PB","0.584216686447311936562"
"Marlieria","MG","0.5841252473624786023773"
"Sarzedo","MG","0.5840476587205606490598"
"Muriae","MG","0.5840462069796090839016"
"Eugenopolis","MG","0.5840389418279970287862"
"Sao Lourenco da Mata","PE","0.5840147004216097246518"
"Cardeal da Silva","BA","0.583944930364435825272"
"Jequie","BA","0.583865053998021164901"
"Uberaba","MG","0.5838518721216952052840"
"Hortolandia","SP","0.583785411070388284113"
"Taboleiro Grande","RN","0.58371232605057512984"
"Guaruja","SP","0.583689782497087212557"
"Ribeirao Bonito","SP","0.5836811422397007982477"
"Sao Paulo","SP","0.583548132789882283725"
"Amparo do Sao Francisco","SE","0.5835362823589373314388"
"Messias Targino","RN","0.5835264494437971353530"
"Marcelandia","MT","0.583525979015624505279"
"Sao Joao del Rei","MG","0.5835214817548045160685"
"Conceicao do Almeida","BA","0.58346316941294101406183"
"Sao Goncalo do Para","MG","0.5832723490232284172084"
"Carapebus","RJ","0.5832137617572400048427"
"Coimbra","MG","0.5830980285770924637885"
"Pirajuba","MG","0.583076288239599438569"
"Lagoa Santa","GO","0.583060918171937270320"
"Jaboatao dos Guararapes","PE","0.582910978114805157509"
