"mun_name","uf","concentracao_maxima"
"Boqueirao do Piaui","PI","0.82154316271963330787"
"Braganca","PA","0.82128174712793097285"
"Itatiba do Sul","RS","0.82107231920199501247"
"Campestre da Serra","RS","0.82078963602714373843"
"Encantado","RS","0.82057312080829196063"
"Balneario Rincao","SC","0.82053688755397033978"
"Planalto","PR","0.82050925281758731042"
"Sao Miguel do Oeste","SC","0.82018948793142341529"
"Taquarucu do Sul","RS","0.82013465854440525810"
"Jacinto Machado","SC","0.81993599397590361446"
"Arroio Grande","RS","0.81956942704180430573"
"Getulio Vargas","RS","0.81947958077340079508"
"Sao Joao do Itaperiu","SC","0.81940398834864440959"
"Nicolau Vergueiro","RS","0.81935817805383022774"
"Muana","PA","0.81921177922764944454"
"Balneario Gaivota","SC","0.81919714085136256302"
"Alpestre","RS","0.81902487002950681467"
"Ibiruba","RS","0.81897789927257563823"
"Afonso Cunha","MA","0.81884765625000000000"
"Montenegro","RS","0.81881782282889213644"
"Paim Filho","RS","0.81868283273629098925"
"Rio do Sul","SC","0.81865898852411588852"
"Capao da Canoa","RS","0.81848916564455766267"
"Curua","PA","0.81830417227456258412"
"Tiradentes do Sul","RS","0.81828816533437317216"
"Paraiso","SC","0.81790485118350128896"
"Timbo","SC","0.81771838868522093755"
"Nova Esperanca do Sul","RS","0.81767728674203494347"
"Vera Cruz","RS","0.81744664919505803070"
"Santa Cecilia do Sul","RS","0.81720430107526881720"
"Sao Joao Batista","SC","0.81705265090096980451"
"Tramandai","RS","0.81688638829131961682"
"Serranopolis do Iguacu","PR","0.81685640103854603555"
"Santiago","RS","0.81680902366259348563"
"Ibicare","SC","0.81676353624961762007"
"Santo Antonio dos Milagres","PI","0.81665107577174929841"
"Barra Bonita","SC","0.81594724220623501199"
"Independencia","RS","0.81546600280068461179"
"Farroupilha","RS","0.81522636086845175426"
"Sangao","SC","0.81509082440614811365"
"Doutor Mauricio Cardoso","RS","0.81498881431767337808"
"Selbach","RS","0.81495985901703544155"
"Barreirinhas","MA","0.81480126240680601930"
"Mafra","SC","0.81467279238866982600"
"Santana do Maranhao","MA","0.81451689221160215766"
"Marcacao","PB","0.81397933103678186465"
"Paraiso do Sul","RS","0.81392851664365700261"
"Ipumirim","SC","0.81358751279426816786"
"Ararica","RS","0.81278592375366568915"
"Julio Borges","PI","0.81254639940608760208"
"Taquara","RS","0.81234739491378986514"
"Prainha","PA","0.81232256795120442983"
"Mata","RS","0.81183482332907620264"
"Arroio dos Ratos","RS","0.81131429354153825080"
"Bueno Brandao","MG","0.81083310420676381633"
"Itapiranga","AM","0.81027356819523715804"
"Seberi","RS","0.80995815899581589958"
"Sao Jeronimo","RS","0.80972988396423815865"
"Choro","CE","0.80946090976636671345"
"Vitoria das Missoes","RS","0.80920245398773006135"
"Urbano Santos","MA","0.80891137388760209679"
"Bento Goncalves","RS","0.80869014461920731460"
"Mato Queimado","RS","0.80835654596100278552"
"Caicara","RS","0.80810587262200165426"
"Pejucara","RS","0.80801068090787716956"
"Nossa Senhora de Nazare","PI","0.80776587605202754399"
"Cachoeira do Sul","RS","0.80728112901211439990"
"Nova Santa Rita","RS","0.80722850055126791621"
"Bagre","PA","0.80665997742380534303"
"Criciuma","SC","0.80651583035343810754"
"Terra Santa","PA","0.80593121073368118411"
"Ita","SC","0.80585821423517758596"
"Pouso Novo","RS","0.80506037952846463485"
"Panambi","RS","0.80494082500287257268"
"Arambare","RS","0.80447470817120622568"
"Governador Newton Bello","MA","0.80416316624661626062"
"Mato Castelhano","RS","0.80415197806502154328"
"Arvoredo","SC","0.80398406374501992032"
"Sapiranga","RS","0.80382825719120135364"
"Pomerode","SC","0.80381463443086704191"
"Capao do Cipo","RS","0.80378326386662391792"
"Silves","AM","0.80370274245176918419"
"Recursolandia","TO","0.80356620871090324467"
"Campo Alegre","SC","0.80329573634109271258"
"Igrejinha","RS","0.80321872713972201902"
"Santo Amaro do Maranhao","MA","0.80321169976342390135"
"Maravilha","SC","0.80308661640295918729"
"Anajas","PA","0.80282746064046267538"
"Rio Pardo","RS","0.80262018814566860968"
"Garrafao do Norte","PA","0.80229121968991620451"
"Dom Feliciano","RS","0.80177764156003371389"
"Catuipe","RS","0.80159096149412035970"
"Tres Coroas","RS","0.80114636642784032753"
"Santa Lucia","PR","0.80104281009879253568"
"Soledade","RS","0.80017338534893801474"
"Palmitinho","RS","0.80010205383339711698"
"Chui","RS","0.80006387735547748323"
"aguas de Sao Pedro","SP","0.80000000000000000000"
"Sao Bento do Sul","SC","0.79989673018960817513"
"Patis","MG","0.79987595617118048377"
"Primavera","PA","0.79983411667127453691"
"Sao Sebastiao do Uatuma","AM","0.79974293059125964010"
"Nova Santa Rosa","PR","0.79944724825763037731"
"Cambara do Sul","RS","0.79940260965257035057"
"Alegria","RS","0.79923308682552725281"
"Novo Aripuana","AM","0.79922747501889327399"
"Carutapera","MA","0.79891080122122287317"
"Princesa","SC","0.79858299595141700405"
"Santa Rosa","RS","0.79857853773891350389"
"Santa Margarida do Sul","RS","0.79853620955315870570"
"Vila Nova do Sul","RS","0.79834325653637069635"
"Colorado","RS","0.79834254143646408840"
"Ouro","SC","0.79806598407281001138"
"Boa Hora","PI","0.79802955665024630542"
"Rio Azul","PR","0.79800356506238859180"
"Capitao Poco","PA","0.79780908222135702403"
"Anori","AM","0.79766197510759567291"
"Oeiras do Para","PA","0.79765985108143245479"
"Tunas","RS","0.79760934528660690030"
"Balneario Arroio do Silva","SC","0.79753476611883691530"
"Sao Bento do Sapucai","SP","0.79741305465136200103"
"Santo Antonio do Pinhal","SP","0.79714005327351745409"
"Santa Cruz dos Milagres","PI","0.79679767103347889374"
"Cruz Alta","RS","0.79664929642014495952"
"Portel","PA","0.79645777002703870214"
"Socorro","SP","0.79637106824186231992"
"Nova Prata","RS","0.79624007473143390939"
"Natercia","MG","0.79620549989341291835"
"Parobe","RS","0.79593914480003073495"
"Charqueadas","RS","0.79529875471266994173"
"Erval Velho","SC","0.79529170931422722620"
"Cerro Grande do Sul","RS","0.79494443233820004358"
"Jangada","MT","0.79477511446269862645"
"Erechim","RS","0.79472115793954874415"
"Mata Roma","MA","0.79438267992978349912"
"Tangara","SC","0.79430185435343239592"
"Rodeio Bonito","RS","0.79425909227532311392"
"Amaral Ferrador","RS","0.79397363465160075330"
"Cristal","RS","0.79380737087272229072"
"Serra Azul de Minas","MG","0.79377637130801687764"
"Acegua","RS","0.79376498800959232614"
"Santarem Novo","PA","0.79365598430346631785"
"Sao Caetano do Sul","SP","0.79351060939905224714"
"Gravatai","RS","0.79315210092276119121"
"Tejucuoca","CE","0.79275970619097586569"
"Mojui dos Campos","PA","0.79273222416067401387"
"Lindoia do Sul","SC","0.79248186414596614641"
"Piratuba","SC","0.79216501993413069856"
"Conceicao das Pedras","MG","0.79184704184704184704"
"Cachoeira de Minas","MG","0.79180341664562820836"
"Esteio","RS","0.79169129332650353967"
"Goncalves","MG","0.79162259361116987519"
"Vista Gaucha","RS","0.79159180740208408193"
"Curralinho","PA","0.79152287408193965136"
"Carazinho","RS","0.79125946540676978836"
"Magalhaes Barata","PA","0.79125077017868145410"
"Chiapetta","RS","0.79120879120879120879"
"Penha","SC","0.79089801859608472210"
"Pedra Mole","SE","0.79085673146148308135"
"Marapanim","PA","0.79076506228126293606"
"Buriti dos Montes","PI","0.79069141781006187786"
"Passa Quatro","MG","0.79058975185304543990"
"Vargem Grande","MA","0.79038857169274866508"
"Joca Marques","PI","0.79032258064516129032"
"Mercedes","PR","0.79008598887202832575"
"Sideropolis","SC","0.79006854309464780516"
"Santa Cruz da Conceicao","SP","0.79003974748655599719"
"Caseiros","RS","0.79000000000000000000"
"Blumenau","SC","0.78988321462875870908"
"Vicosa do Ceara","CE","0.78947280278670953912"
"Sao Bernardo","MA","0.78937015180195226961"
"Paulistas","MG","0.78901799954431533379"
"Pinhal Grande","RS","0.78896189224704336399"
"Irati","PR","0.78882700421940928270"
"Sao Sebastiao do Rio Verde","MG","0.78869565217391304348"
"Cantanhede","MA","0.78862691848742953545"
"Belmonte","SC","0.78856282919488337096"
"Balneario Camboriu","SC","0.78848765764794653444"
"Sapucaia do Sul","RS","0.78845178529525309030"
"Buriti","MA","0.78834428162371568132"
"Maripa","PR","0.78825324180015255530"
"Cacapava do Sul","RS","0.78822082115946486237"
"Santa Rita de Caldas","MG","0.78806146572104018913"
"Limoeiro do Ajuru","PA","0.78785214244648111198"
"Sarandi","RS","0.78718655638702901405"
"Itaiopolis","SC","0.78708448596435535803"
"Coivaras","PI","0.78698081127034248239"
"Centenario","TO","0.78695448146410136086"
"Quarai","RS","0.78689361702127659574"
"Presidente Getulio","SC","0.78670664667666166917"
"Major Vieira","SC","0.78653198653198653199"
"Afua","PA","0.78617767774394280418"
"Canoas","RS","0.78583201258711891318"
"Batalha","PI","0.78581749049429657795"
"Bom Progresso","RS","0.78578244274809160305"
"Cachoeirinha","RS","0.78562726592200091004"
"Unistalda","RS","0.78546365914786967419"
"Piraju","SP","0.78529691534175839109"
"Timbiras","MA","0.78492674822534360369"
"agua Santa","RS","0.78476482617586912065"
"Marau","RS","0.78474869249180037231"
"Sao Leopoldo","RS","0.78459033434678417177"
"Canoinhas","SC","0.78448087828995201396"
"Ijui","RS","0.78421797593772116065"
"Barra do Ribeiro","RS","0.78413087934560327198"
"Redencao","CE","0.78408172264275740428"
"Rio Sono","TO","0.78392894030159058046"
"Restinga Seca","RS","0.78385434098667916193"
"Indaial","SC","0.78370068065242001985"
"Salinopolis","PA","0.78365943000089341553"
"Sobradinho","RS","0.78363559679460143399"
"Barreira","CE","0.78349410503751339764"
"Piratini","RS","0.78342093235831809872"
