muncod_ibge,pop_total,pop_branca,pop_preta,pop_amarela,pop_parda,pop_indigena
3525508,12815,8920,447,47,3393,8
3525607,4371,2246,363,13,1746,3
3525706,36633,25027,1513,80,10005,7
3525805,4254,1849,195,25,2184,1
3525854,3056,1970,189,1,895,1
3525904,443221,309111,24925,4045,104824,281
3526001,20448,11660,934,352,7491,11
3526100,17154,7767,1012,266,8081,27
3526209,27404,15179,1667,138,10386,34
3526308,5083,3648,180,8,1244,3
3526407,26261,17622,1714,81,6841,3
3526506,9689,4507,1041,111,4018,7
3526605,7171,4451,397,19,2303,1
3526704,98161,63969,5316,262,28562,51
3526803,66505,44649,3100,159,18564,31
3526902,291869,190372,19733,1094,80503,161
3527009,7014,5142,286,31,1555,
3527108,74779,43496,5357,1338,24549,39
3527207,84855,53139,5831,338,25484,62
3527256,1950,1206,131,9,604,
3527306,51847,27832,3446,176,20356,35
3527405,20061,11642,1035,209,7171,4
3527504,2372,1416,111,12,832,1
3527603,12265,6118,1037,34,5068,8
3527702,4701,2206,284,6,2198,7
3527801,3981,1929,297,12,1742,1
3527900,2661,1483,130,7,1039,2
3528007,16829,10191,1059,10,5561,8
3528106,7481,5478,284,26,1691,2
3528205,3963,2563,148,22,1229,1
3528304,3165,2162,104,2,894,3
3528403,50027,26346,3560,498,19572,51
3528502,93853,52692,6219,696,34144,99
3528601,9871,7197,339,12,2321,2
3528700,4573,1829,330,12,2398,4
3528809,12673,8164,564,16,3922,7
3528858,3292,2432,137,6,717,
3528908,3513,2148,123,20,1222,
3529005,237627,142400,14136,5681,75198,210
3529104,1860,1099,99,12,649,1
3529203,24881,13968,1425,141,9332,11
3529302,79033,49446,4759,356,24456,14
3529401,418261,210661,37885,1635,167697,374
3529500,6159,4023,314,13,1805,3
3529609,4572,2974,190,18,1389,1
3529658,1952,1123,144,2,683,
3529708,19441,10399,1275,148,7606,12
3529807,11230,7471,454,7,3295,3
3529906,18553,8678,1102,197,8432,144
3530003,3126,2016,149,11,950,
3530102,27983,15120,1464,1024,10357,18
3530201,15917,7397,804,244,7462,10
3530300,63337,42962,3294,200,16824,57
3530409,4669,3043,282,3,1341,
3530508,67681,44617,3698,134,19202,30
3530607,451505,248044,38256,16603,148050,538
3530706,153658,111663,6720,351,34856,66
3530805,92558,67372,4498,419,20142,121
3530904,3722,2138,251,1,1332,
3531001,1937,1392,123,1,421,
3531100,61951,27516,9429,185,24334,487
3531209,8627,6432,384,35,1774,2
3531308,47574,33686,2364,391,11107,24
3531407,22280,14969,1222,61,6008,13
3531506,18151,12810,804,19,4516,2
3531605,4222,2590,240,16,1376,
3531704,4138,2694,248,16,1178,2
3531803,64662,31626,5338,150,27501,47
3531902,27933,12718,2463,145,12602,5
3532009,13720,8344,723,49,4595,8
3532058,4034,2094,383,4,1550,3
3532108,3737,2270,179,40,1245,3
3532157,2660,1209,205,9,1236,1
3532207,5713,2400,382,48,2882,1
3532306,6999,4818,253,14,1910,4
3532405,18217,11661,882,70,5591,13
3532504,9699,6859,516,10,2311,3
3532603,9852,6972,392,13,2473,2
3532702,4750,2630,273,5,1839,3
3532801,6693,4521,453,16,1692,11
3532827,8497,5490,275,13,2714,5
3532843,2032,1258,109,7,658,
3532868,1062,680,20,2,360,
3532900,9311,4913,742,51,3601,4
3533007,19419,11351,1354,36,6655,23
3533106,2156,1411,139,11,595,
3533205,4609,2118,338,8,2144,1
3533254,4412,2127,407,10,1868,
3533304,2837,1550,187,7,1093,
3533403,62019,40578,3670,206,17500,65
3533502,38324,26608,1603,107,9981,25
3533601,7391,5026,413,9,1933,10
3533700,4331,2555,223,14,1539,
3533809,2512,1833,86,2,590,1
3533908,55074,35634,3295,183,15939,23
3534005,4771,2585,411,31,1727,17
3534104,6085,3284,468,35,2298,
3534203,6024,3083,453,49,2439,
3534302,38319,21903,2711,77,13614,14
3534401,728615,377631,69458,5840,275098,539
3534500,2470,1596,76,67,727,4
3534609,31272,19176,1310,500,10269,14
3534708,103970,70140,5700,1223,26806,94
3534757,10294,6020,554,106,3613,1
3534807,7779,3493,498,21,3757,10
3534906,14877,6731,955,346,6833,12
3535002,11476,6690,648,23,4106,9
3535101,9650,4714,909,12,4006,9
3535200,8903,5864,399,162,2476,1
3535309,19594,14795,701,29,4058,10
3535408,14964,7767,703,67,6427,
3535507,41120,23533,2076,298,15169,44
3535606,17667,11857,610,47,5134,19
3535705,6099,4333,322,16,1415,13
3535804,19395,12877,635,46,5828,9
3535903,4031,2198,237,107,1489,
3536000,10580,5837,484,165,4080,14
3536109,7153,4701,399,21,2030,2
3536208,19233,10062,1017,152,7854,148
3536257,2892,1856,90,1,944,1
3536307,14512,7557,1394,12,5541,7
3536406,7955,3818,338,50,3748,1
3536505,110537,69553,7136,1164,32626,54
3536570,2090,1316,84,3,686,1
3536604,7400,3614,889,45,2851,1
